name,summary,type
信访处理制度与操作指南,提供信访工作人员进行日常事务处理的具体规范，包括责任审计及事项终结，确保信访工作的严谨有序。,信访
信访政策指导与约束机制,通过一系列政策文件，规范和约束公安机关及领导行为，推动信访工作的法治化、标准化，涵盖建议征集及经验应用等支持性制度。,信访
督察办案指引与举报投诉处理,规范案件办理和举报投诉的处理程序，确保公安机关的督察工作高效和透明，强调异地办案协作和视频监控管理。,督查
司法干预与责任追究,防止对司法活动的干预行为，并明确如何处理违规线索，确保司法工作的独立和公正。,督查
公安执法权威与维权,保护民警在执法过程中的权威和合法权益，规范袭警案件的处理，保障执法环境的安全和公正。,公安内部纪律规范
公干警察行为纪律与规范,以细则形式规定警察行为的纪律要求，禁止不当查询使用个人信息和工作日饮酒，确保警务行为的规范化与责任追究。,公安内部纪律规范
公安警察内部监督与督察机制,建立全面的内部监督与督察机制，通过数字化手段提升监督效能，加强督察员和监督员的作用，确保依法行政。,公安内部纪律规范
公安警察执法程序与规范,详细规范各种案件的办理程序，涵盖国家赔偿、刑事复议等，指导警察在执法过程中遵循既定法律框架和程序。,公安内部纪律规范
交通与安全管理,与道路交通安全、机动车管理及危险驾驶处理相关的法规，涵盖机动车登记、道路交通安全法以及醉酒危险驾驶刑事案件的意见，目的是维护公共交通秩序，确保道路使用者的生命财产安全。,其他公共法规
治安与刑事法律,涵盖刑法、刑事诉讼及处理具体刑事案件的指导性解释，包括反有组织犯罪法、强奸猥亵未成年人案件的法律解释等，提供对刑事案件从立案到执行的全面法律框架，确保社会治安和司法公正。,其他公共法规
行政法律,涵盖行政管理中的复议、强制、诉讼、许可及公务员管理等法律框架，确保政府职能依法规范运行,其他公共法规
民事法律,主要涵盖个人、家庭、企业等主体在民事领域的权利义务关系，包括民法典、反家庭暴力法、妇女权益保障法等，旨在维护民事主体合法权益，调整平等主体之间的人身和财产关系。,其他公共法规
未成年人保护,涉及对未成年人的综合保护，包括预防犯罪和隐私保护，涉及未成年人网络保护、保护法、犯罪法等，目的在于为未成年人提供健康成长环境，防止其受到不良影响和侵害。,其他公共法规
网络与信息安全,与个人信息保护、数据安全以及网络空间安全相关的法律，包括个人信息保护法、数据安全法、网络安全法等，通过立法手段保障网络空间的合规、安全与稳定，维护公民的信息权利。,其他公共法规
安全与应急管理,包括爆炸物品、化学品以及恐怖主义、枪支等安全管理法规，涵盖反恐怖主义法、禁毒法、国家安全法等，旨在构建国家安全体系，加强应对突发事件的能力，保障公共安全和国家利益。,其他公共法规
社会活动与公共秩序,管理集会、游行、示威等活动以维护公共秩序的法律，包括集会游行示威法及其实施条例，规定公民在行使集会、游行、示威权利时的程序及限制条件，以维持社会稳定和公共秩序。,其他公共法规
纪检监察,涉及党内纪律处分、控告申诉、公务员纪律及国家监察的法规，加强对公职人员行为的监督和管理。,其他公共法规
法律援助与赔偿,涉及法律援助以及国家赔偿的法律法规，包括法律援助法、国家赔偿法等，通过提供法律帮助和国家赔偿，保障困难群体的合法权益和受损公民的救济途径，实现社会公平正义。,其他公共法规
社区矫正与刑罚执行,关于社区矫正制度和刑罚执行的法律规范，包含社区矫正法等，旨在通过非监禁措施实现对罪犯的教育改造和社会再整合，推动刑罚执行的人性化和社会化进程，提高矫正效果。,其他公共法规
劳动与就业,处理劳动争议、调解与仲裁的法律，包括劳动争议调解仲裁法等，通过完善机制解决劳动争议，维护劳动者和用人单位的合法权益，促进劳动关系的和谐与稳定。,其他公共法规
娱乐与公共活动管理,对娱乐场所进行管理的法规，涵盖娱乐场所管理条例等，制定有关经营活动、场所设施、安全管理等方面的标准和规定，以保障消费者权益并维护公共文化市场秩序。,其他公共法规
奖励与保障,涉及见义勇为人员的奖励和保障措施的法规，如浙江省见义勇为人员奖励和保障条例等，通过设立奖励和保障机制，鼓励公民积极参与社会公益事业，弘扬社会正能量。,其他公共法规
出入境与居民身份证管理,涉及护照、出入境管理以及居民身份证的法令，包括护照法、出境入境管理法、居民身份证法等，对公民身份确认和移动自由进行规范管理，提升国民出入境便利性。,其他公共法规
境外组织与活动管理,管理境外非政府组织在境内活动的法律规定，涉及境外非政府组织境内活动管理法，通过明确境外组织的注册、活动范围和管理要求，确保其在华活动的合法性和透明度。,其他公共法规
依法治国与政策指导,有关依法治国的整体政策指导文件，包括全面推进依法治国若干重大问题的决定等,其他公共法规
宪法,中华人民共和国宪法是国家的根本法，规定了国家的基本制度和公民的基本权利。,其他公共法规
